Time,Thrust
0,3.29
0.094,3.33
0.189,3.37
0.283,3.43
0.376,3.52
0.47,3.62
0.564,3.75
0.659,3.95
0.752,4.27
0.846,4.74
0.94,5.31
1.034,6.19
1.128,9.3
1.222,20.47
1.316,45.97
1.41,66.71
1.503,72.36
1.598,78.97
1.692,90.85
1.786,112.32
1.879,151.89
1.973,197.09
2.068,223.84
2.162,239.47
2.255,251.46
2.349,253.3
2.443,243.16
2.538,229.81
2.631,212.39
2.725,192.97
2.819,170.12
2.913,151.61
3.007,132.36
3.101,105.46
3.195,79.99
3.289,57.43
3.382,41.88
3.477,32.98
3.571,24.18
3.665,18.21
3.758,12.44
3.852,7.01
3.947,4.89
4.041,4.81
4.134,4.48
4.228,3.17
4.322,2.43
4.417,2.18
4.51,1.95
4.604,2.09
4.698,1.76
4.792,1.85
4.886,1.45
4.98,0.16
5.074,0
